Wall time,Step,Value
1669751019.1275415,0,0.10000000149011612
1669751071.4587896,1,0.10001000016927719
1669751123.7794611,2,0.10346999764442444
1669751175.976151,3,0.14372999966144562
1669751227.9254816,4,0.12696999311447144
1669751280.788726,5,0.13200999796390533
1669751331.3401513,6,0.1461700052022934
1669751381.3714778,7,0.13338999450206757
1669751431.6729157,8,0.13439999520778656
1669751481.700701,9,0.15520000457763672
1669751534.9284623,10,0.18196000158786774
1669751589.641056,11,0.14474999904632568
1669751645.2347581,12,0.1877399981021881
1669751700.52286,13,0.19300000369548798
1669751755.7177937,14,0.19649000465869904
1669751810.9536433,15,0.2070000022649765
1669751866.0909815,16,0.20343999564647675
1669751921.5947187,17,0.21243999898433685
1669751977.1334043,18,0.2064100056886673
1669752032.513485,19,0.22824999690055847
1669752087.9187284,20,0.22468000650405884
1669752141.7421048,21,0.22281000018119812
1669752192.1541216,22,0.2275799959897995
1669752242.9043493,23,0.22732000052928925
1669752297.3744874,24,0.23948000371456146
1669752353.1740396,25,0.23573000729084015
1669752408.3123724,26,0.23770000040531158
1669752463.8384576,27,0.243259996175766
1669752519.035074,28,0.23060999810695648
1669752574.5297441,29,0.2415200024843216
1669752629.6611497,30,0.23924000561237335
1669752685.0222208,31,0.24527999758720398
1669752740.566401,32,0.2386299967765808
1669752795.6658752,33,0.251120001077652
1669752851.2074337,34,0.24703000485897064
1669752902.7763681,35,0.25080999732017517
1669752953.291567,36,0.2593899965286255
1669753003.5978937,37,0.2698499858379364
1669753054.3365557,38,0.27156999707221985
1669753104.6739886,39,0.2706800103187561
1669753155.503762,40,0.2785699963569641
1669753210.9407992,41,0.2828100025653839
1669753266.449745,42,0.2860499918460846
1669753321.916613,43,0.2936899960041046
1669753377.374397,44,0.29131001234054565
1669753432.7999775,45,0.2844400107860565
1669753488.000744,46,0.2663699984550476
1669753543.1513906,47,0.29104000329971313
1669753598.3266957,48,0.2996000051498413
1669753654.2215266,49,0.2906700074672699
1669753709.5677617,50,0.30103999376296997
1669753764.8074708,51,0.29782000184059143
1669753815.0985253,52,0.3074199855327606
1669753865.2683237,53,0.3030399978160858
1669753915.3601763,54,0.3023799955844879
1669753965.5430582,55,0.30584999918937683
1669754015.5775056,56,0.3134300112724304
1669754068.5227067,57,0.32076001167297363
1669754123.6320384,58,0.3217200040817261
1669754178.5842834,59,0.3141300082206726
1669754233.6353528,60,0.3179199993610382
1669754288.8831873,61,0.3243600130081177
1669754344.1820202,62,0.3290799856185913
1669754399.125111,63,0.3249100148677826
1669754454.4476004,64,0.3321000039577484
1669754509.3962536,65,0.3283100128173828
1669754566.543965,66,0.3375999927520752
1669754627.6858702,67,0.3307200074195862
1669754682.6881318,68,0.335860013961792
1669754733.862407,69,0.3381200134754181
1669754783.7953417,70,0.32958999276161194
1669754834.0075376,71,0.3373199999332428
1669754884.0359228,72,0.3400000035762787
1669754934.205146,73,0.34143000841140747
1669754987.22347,74,0.35534000396728516
1669755042.5507922,75,0.3447200059890747
1669755099.2228956,76,0.347790002822876
1669755156.2021616,77,0.3466799855232239
1669755213.4935534,78,0.3526099920272827
1669755271.0583942,79,0.359250009059906
1669755327.7380059,80,0.3615100085735321
1669755382.8681703,81,0.3659999966621399
1669755438.013774,82,0.36399000883102417
1669755492.9702795,83,0.3506599962711334
1669755548.2103488,84,0.3649899959564209
1669755600.250557,85,0.3750799894332886
1669755650.4211333,86,0.38352999091148376
1669755700.4792073,87,0.36921000480651855
1669755750.8720348,88,0.38596999645233154
1669755801.0596359,89,0.38133999705314636
1669755851.335076,90,0.37968000769615173
1669755906.131584,91,0.39114999771118164
1669755961.7535245,92,0.39004001021385193
1669756016.788241,93,0.40156999230384827
1669756072.512756,94,0.39190998673439026
1669756127.4804654,95,0.3793399930000305
1669756182.787839,96,0.3921700119972229
1669756238.1467812,97,0.40213000774383545
1669756293.276719,98,0.3986400067806244
1669756348.5703423,99,0.3931399881839752
1669756403.6347787,100,0.38537999987602234
1669756459.0453517,101,0.4106599986553192
1669756509.9299545,102,0.38609999418258667
1669756560.2747555,103,0.41277000308036804
1669756610.5492516,104,0.4183399975299835
1669756660.9577136,105,0.4111599922180176
1669756711.0073779,106,0.4134800136089325
1669756762.3216755,107,0.41328001022338867
1669756817.5673647,108,0.422760009765625
1669756872.785007,109,0.4141800105571747
1669756927.962249,110,0.42625999450683594
1669756983.318465,111,0.4314500093460083
1669757038.6754694,112,0.41245999932289124
1669757094.071042,113,0.43533000349998474
1669757149.3575823,114,0.4293000102043152
1669757204.572736,115,0.43386998772621155
