Wall time,Step,Value
1667431594.5086045,0,0.6962800025939941
1667431660.0414944,1,0.7961366772651672
1667431725.4603956,2,0.830863356590271
1667431790.8029072,3,0.8474433422088623
1667431856.2489328,4,0.8573600053787231
1667431921.6687994,5,0.8633233308792114
1667431987.0754666,6,0.8684399724006653
1667432052.2878926,7,0.8717433214187622
1667432117.3426611,8,0.8747466802597046
1667432182.5812807,9,0.8760466575622559
1667432247.6706748,10,0.8785766959190369
1667432312.662251,11,0.8806300163269043
1667432377.6863034,12,0.8818833231925964
1667432442.6548605,13,0.8838666677474976
1667432507.6239202,14,0.8854166865348816
1667432572.5543513,15,0.8862533569335938
1667432637.4372888,16,0.8875766396522522
1667432702.3634932,17,0.8884366750717163
1667432767.3574448,18,0.8896333575248718
1667432832.302428,19,0.890749990940094
1667432897.2346509,20,0.8913333415985107
1667432962.1383522,21,0.8926666378974915
1667433026.9590225,22,0.8929833173751831
1667433091.935995,23,0.8937566876411438
1667433156.890965,24,0.8945866823196411
1667433221.788658,25,0.8950433135032654
1667433286.6362188,26,0.8956699967384338
1667433351.6272423,27,0.8959900140762329
1667433416.4683561,28,0.8970633149147034
1667433481.3294036,29,0.8970666527748108
1667433546.2236073,30,0.8973199725151062
1667433611.2464776,31,0.8979133367538452
1667433676.1370487,32,0.8986066579818726
1667433741.0168629,33,0.8990933299064636
1667433806.2595859,34,0.8999033570289612
1667433871.8340771,35,0.8997833132743835
1667433938.8389127,36,0.9003366827964783
1667434003.902794,37,0.9006933569908142
1667434068.790896,38,0.9012633562088013
1667434133.7998614,39,0.9013166427612305
1667434198.8544133,40,0.9019633531570435
1667434263.8572297,41,0.9023566842079163
1667434328.8462763,42,0.9027133584022522
1667434393.869925,43,0.9029899835586548
1667434458.8366392,44,0.9033300280570984
1667434523.7740157,45,0.9036566615104675
1667434588.7410645,46,0.9040600061416626
1667434653.618277,47,0.9040300250053406
1667434718.5467389,48,0.9042933583259583
1667434783.3619113,49,0.9048433303833008
