Wall time,Step,Value
1668286531.4063869,0,0.7901999950408936
1668286633.6513257,1,0.8252000212669373
1668286735.8723748,2,0.8411999940872192
1668286833.497605,3,0.8532999753952026
1668286933.1780717,4,0.8632000088691711
1668287034.5006924,5,0.8683000206947327
1668287136.2453067,6,0.8719000220298767
1668287239.4804175,7,0.8743000030517578
1668287338.6203065,8,0.8766999840736389
1668287436.5181339,9,0.8781999945640564
1668287537.398304,10,0.8809000253677368
1668287637.725129,11,0.8816999793052673
1668287739.8701518,12,0.8841000199317932
1668287842.3976676,13,0.8855000138282776
1668287943.9101572,14,0.8863999843597412
1668288043.2336411,15,0.8880000114440918
1668288140.993066,16,0.8888000249862671
1668288241.8392413,17,0.8899999856948853
1668288342.2017193,18,0.891700029373169
1668288446.337085,19,0.8921999931335449
1668288548.7558324,20,0.8925999999046326
1668288652.532993,21,0.8931000232696533
1668288757.0784538,22,0.8937000036239624
1668288852.8026328,23,0.8944000005722046
1668288950.6188364,24,0.8952000141143799
1668289048.2478101,25,0.8956999778747559
1668289144.9610238,26,0.895799994468689
1668289247.5789132,27,0.8970999717712402
1668289347.8874693,28,0.8977000117301941
1668289448.7312574,29,0.8982999920845032
1668289551.8876147,30,0.8988000154495239
1668289653.2156317,31,0.8988999724388123
1668289755.2671313,32,0.8995000123977661
1668289857.1986322,33,0.9003999829292297
1668289962.1743994,34,0.9004999995231628
1668290066.5776858,35,0.9003999829292297
1668290169.1843204,36,0.9006999731063843
1668290278.4831278,37,0.9003999829292297
1668290383.2207978,38,0.9010999798774719
1668290487.0968878,39,0.9010000228881836
1668290591.920015,40,0.9020000100135803
1668290697.6842058,41,0.9024999737739563
1668290797.5911968,42,0.9027000069618225
1668290896.5363169,43,0.9020000100135803
1668290996.3185394,44,0.9031000137329102
1668291099.5731869,45,0.9035999774932861
1668291202.6716113,46,0.9034000039100647
1668291305.708502,47,0.9038000106811523
1668291408.1527886,48,0.9039999842643738
1668291511.0148642,49,0.9043999910354614
