Wall time,Step,Value
1668286905.1915097,0,0.6510900259017944
1668287002.0905268,1,0.7633000016212463
1668287098.95267,2,0.805180013179779
1668287196.1872714,3,0.8273566961288452
1668287292.937219,4,0.840386688709259
1668287389.7459884,5,0.8498899936676025
1668287486.5380585,6,0.856053352355957
1668287583.327445,7,0.8614500164985657
1668287679.9187918,8,0.8654833436012268
1668287776.701902,9,0.8691700100898743
1668287873.191925,10,0.8714066743850708
1668287969.685684,11,0.873603343963623
1668288066.2413995,12,0.8759700059890747
1668288162.9391263,13,0.8781833052635193
1668288259.679025,14,0.8793633580207825
1668288356.4381235,15,0.881060004234314
1668288453.0021615,16,0.8822399973869324
1668288549.7177627,17,0.8834599852561951
1668288646.2250862,18,0.885296642780304
1668288742.7240393,19,0.8863499760627747
1668288839.3820293,20,0.88701331615448
1668288935.798699,21,0.8880366683006287
1668289032.3946095,22,0.8892433047294617
1668289127.9643917,23,0.8898933529853821
1668289223.5342743,24,0.8909266591072083
1668289319.427302,25,0.8918166756629944
1668289416.7128901,26,0.8925633430480957
1668289513.3339133,27,0.8931499719619751
1668289609.9225707,28,0.8934966921806335
1668289706.592453,29,0.893779993057251
1668289803.14177,30,0.8945266604423523
1668289900.0715563,31,0.8947133421897888
1668289996.6873875,32,0.895609974861145
1668290094.0884874,33,0.8961166739463806
1668290190.577424,34,0.8968999981880188
1668290287.1737442,35,0.8973100185394287
1668290383.7743058,36,0.8978366851806641
1668290480.3273132,37,0.8978366851806641
1668290577.5034382,38,0.8987266421318054
1668290674.7742264,39,0.899263322353363
1668290772.0377867,40,0.8995000123977661
1668290869.96001,41,0.8996533155441284
1668290966.250364,42,0.9001133441925049
1668291063.7374172,43,0.9003333449363708
1668291162.651175,44,0.9008966684341431
1668291259.8083715,45,0.9008899927139282
1668291357.3517637,46,0.9012200236320496
1668291457.914802,47,0.9016233086585999
1668291558.0962224,48,0.9020400047302246
1668291657.8906991,49,0.9023900032043457
