Wall time,Step,Value
1667428282.5164666,0,0.6526700258255005
1667428350.1366696,1,0.766730010509491
1667428417.732248,2,0.6070600032806396
1667428486.741252,3,0.6282899856567383
1667428555.3000283,4,0.6407700061798096
1667428623.7754,5,0.649453330039978
1667428692.2255797,6,0.6573099970817566
1667428760.459583,7,0.6620499968528748
1667428828.662436,8,0.6653233051300049
1667428896.6195035,9,0.6687599897384644
1667428964.4361134,10,0.6716300129890442
1667429032.2004523,11,0.6743566870689392
1667429099.9918206,12,0.6765299916267395
1667429167.8206975,13,0.6784033060073853
1667429236.6230772,14,0.6800600171089172
1667429305.8809521,15,0.6814533352851868
1667429372.3984215,16,0.6829233050346375
1667429438.8698618,17,0.6840733170509338
1667429505.3274891,18,0.6852566480636597
1667429571.7783163,19,0.6862900137901306
1667429638.2424555,20,0.6873999714851379
1667429704.801402,21,0.6887199759483337
1667429771.3866267,22,0.6893466591835022
1667429837.8661706,23,0.6902333378791809
1667429904.2657309,24,0.6907266855239868
1667429970.7077117,25,0.6913000226020813
1667430037.1118615,26,0.6921666741371155
1667430103.4786186,27,0.6929299712181091
1667430169.7626355,28,0.693750011920929
1667430235.0737522,29,0.6940733075141907
1667430299.6822977,30,0.6944799900054932
1667430364.2812188,31,0.6950833082199097
1667430428.862456,32,0.6958233594894409
1667430493.4667265,33,0.6962000012397766
1667430558.061988,34,0.6970500230789185
1667430622.5764718,35,0.6975333571434021
1667430687.2497175,36,0.6977233171463013
1667430751.9801111,37,0.6983100056648254
1667430816.731438,38,0.6987433314323425
1667430881.3406708,39,0.698693323135376
1667430946.0214171,40,0.6992066383361816
1667431010.6322517,41,0.699756669998169
1667431075.2399738,42,0.9002066850662231
1667431139.848527,43,0.9005433320999146
1667431204.4494858,44,0.9009333252906799
1667431268.9538903,45,0.901146650314331
1667431333.538815,46,0.9018733501434326
1667431398.1420388,47,0.901793360710144
1667431462.7687469,48,0.902323305606842
1667431527.303186,49,0.9026233553886414
