Wall time,Step,Value
1667448082.804473,0,0.7698366641998291
1667448148.0239422,1,0.8255466818809509
1667448213.2493005,2,0.8428833484649658
1667448278.3130643,3,0.8532000184059143
1667448343.532443,4,0.8607666492462158
1667448408.7786167,5,0.865933358669281
1667448474.2699425,6,0.8707166910171509
1667448539.5370545,7,0.8733333349227905
1667448604.9061484,8,0.874886691570282
1667448670.583497,9,0.8762933611869812
1667448736.0916667,10,0.8791099786758423
1667448801.6245458,11,0.8815366625785828
1667448866.9281015,12,0.8827800154685974
1667448932.358265,13,0.8844966888427734
1667448997.8073313,14,0.8857200145721436
1667449063.4085557,15,0.8871033191680908
1667449129.0634491,16,0.8883100152015686
1667449194.4127965,17,0.8891833424568176
1667449259.7464223,18,0.8905199766159058
1667449325.1499703,19,0.8915133476257324
1667449390.4157374,20,0.8919533491134644
1667449455.8203497,21,0.89301997423172
1667449521.0879216,22,0.8934433460235596
1667449586.3916066,23,0.8939833045005798
1667449651.7366652,24,0.894819974899292
1667449717.3236127,25,0.8951666951179504
1667449782.882609,26,0.8957066535949707
1667449850.6039941,27,0.8962833285331726
1667449918.7476206,28,0.8969900012016296
1667449986.3311365,29,0.8973133563995361
1667450054.564145,30,0.897463321685791
1667450124.3099182,31,0.89833664894104
1667450193.2581003,32,0.8988100290298462
1667450261.9361901,33,0.899506688117981
1667450330.1285663,34,0.9002400040626526
1667450398.6731653,35,0.9003466963768005
1667450467.0321121,36,0.9005033373832703
1667450535.2777576,37,0.9010766744613647
1667450604.0065658,38,0.9015799760818481
1667450672.9020002,39,0.9013733267784119
1667450742.057499,40,0.9021300077438354
1667450810.039086,41,0.9026666879653931
1667450879.4958873,42,0.9032599925994873
1667450949.0455027,43,0.9035000205039978
1667451018.415481,44,0.9037966728210449
1667451086.788942,45,0.9039133191108704
1667451156.188281,46,0.9042433500289917
1667451225.848424,47,0.9043933153152466
1667451295.297773,48,0.9047366380691528
1667451365.0693555,49,0.905346691608429
