Wall time,Step,Value
1670100560.5517507,0,0.12789000570774078
1670100606.542614,1,0.11849000304937363
1670100652.8936808,2,0.11435999721288681
1670100699.2964964,3,0.10819000005722046
1670100745.2816277,4,0.11315000057220459
1670100791.4821086,5,0.15891000628471375
1670100837.8984327,6,0.1376899927854538
1670100884.2093084,7,0.1684499979019165
1670100930.287565,8,0.18682000041007996
1670100976.285505,9,0.186489999294281
1670101022.2164316,10,0.20266999304294586
1670101068.388743,11,0.19708000123500824
1670101114.5764477,12,0.21678000688552856
1670101158.744209,13,0.2044299989938736
1670101202.1793122,14,0.1963299959897995
1670101245.6455843,15,0.17564000189304352
1670101288.7331853,16,0.19085000455379486
1670101331.5662792,17,0.19946999847888947
1670101374.2979095,18,0.23228999972343445
1670101417.8611183,19,0.22811999917030334
1670101463.282685,20,0.23656000196933746
1670101509.5338278,21,0.24332000315189362
1670101555.8523636,22,0.23117999732494354
1670101601.6751451,23,0.2491600066423416
1670101647.9815907,24,0.23938000202178955
1670101694.3112307,25,0.25266000628471375
1670101740.075246,26,0.24262000620365143
1670101785.6518872,27,0.2585200071334839
1670101831.653319,28,0.26026999950408936
1670101877.836499,29,0.2698200047016144
1670101923.8634143,30,0.24869999289512634
1670101969.4455934,31,0.2716200053691864
1670102015.6176555,32,0.2795200049877167
1670102059.9267695,33,0.27856001257896423
1670102102.4246025,34,0.2701199948787689
1670102145.3071113,35,0.279449999332428
1670102188.1112192,36,0.271479994058609
1670102231.5960903,37,0.2930600047111511
1670102275.0441768,38,0.30188998579978943
1670102319.0457356,39,0.306659996509552
1670102364.0819643,40,0.2897599935531616
1670102410.1314034,41,0.3131999969482422
1670102456.5518343,42,0.3367899954319
1670102502.8357189,43,0.296970009803772
1670102549.0904942,44,0.29714998602867126
1670102594.834724,45,0.30188998579978943
1670102641.3807604,46,0.29594001173973083
1670102687.186198,47,0.3128800094127655
1670102733.6237757,48,0.30153000354766846
1670102779.698075,49,0.318340003490448
1670102825.6697612,50,0.31755000352859497
1670102871.703631,51,0.29627999663352966
1670102917.9587617,52,0.32332998514175415
1670102962.1058547,53,0.35853999853134155
1670103004.6855621,54,0.35580000281333923
1670103048.0632114,55,0.3191800117492676
1670103091.09013,56,0.3274799883365631
1670103133.8622649,57,0.3511100113391876
1670103176.6431487,58,0.348690003156662
1670103219.6927464,59,0.3074199855327606
1670103264.7270064,60,0.32561999559402466
1670103310.5814006,61,0.3337399959564209
1670103356.8067405,62,0.33103999495506287
1670103402.7581801,63,0.3497900068759918
1670103448.2033286,64,0.3314000070095062
1670103494.2161999,65,0.34191998839378357
1670103540.6063862,66,0.35117998719215393
1670103586.039039,67,0.3564800024032593
1670103631.436047,68,0.3697899878025055
1670103677.7646005,69,0.38510000705718994
1670103723.820112,70,0.3848699927330017
1670103769.7479956,71,0.35701999068260193
1670103815.4363015,72,0.35892000794410706
1670103859.7427695,73,0.3575100004673004
1670103902.8887894,74,0.3704499900341034
1670103946.294954,75,0.3721500039100647
1670103989.2958677,76,0.3751400113105774
1670104032.3017585,77,0.38457000255584717
1670104075.2330937,78,0.39462000131607056
1670104118.4308488,79,0.38710999488830566
1670104163.4131336,80,0.4167799949645996
1670104208.0666065,81,0.39142999053001404
1670104251.3371408,82,0.3850399851799011
1670104295.0595202,83,0.359389990568161
1670104338.5799706,84,0.38231000304222107
1670104381.1369278,85,0.3980099856853485
1670104423.545411,86,0.3899500072002411
1670104466.6694727,87,0.43187999725341797
1670104509.955171,88,0.418940007686615
1670104553.3454087,89,0.3979800045490265
1670104595.9648404,90,0.4009999930858612
1670104638.3187473,91,0.3805299997329712
1670104681.0320663,92,0.4202199876308441
1670104724.420747,93,0.4118500053882599
1670104767.9748178,94,0.3969700038433075
1670104810.70027,95,0.3858500123023987
1670104853.2454708,96,0.41363000869750977
1670104895.9810674,97,0.43268001079559326
1670104939.3258028,98,0.4079500138759613
1670104982.5016363,99,0.4174700081348419
1670105025.1522417,100,0.41492998600006104
1670105070.4807916,101,0.4222699999809265
1670105115.9851031,102,0.4059399962425232
1670105161.766874,103,0.43963000178337097
1670105207.4663615,104,0.42754998803138733
1670105252.886754,105,0.422760009765625
1670105298.1141741,106,0.43573999404907227
1670105343.865162,107,0.4103899896144867
1670105389.7147777,108,0.42838001251220703
1670105434.5472424,109,0.4431999921798706
1670105480.1282287,110,0.4470599889755249
1670105525.9305422,111,0.4543299973011017
1670105571.5894203,112,0.4359700083732605
1670105617.0585356,113,0.45285001397132874
1670105660.767068,114,0.4284999966621399
1670105703.8927295,115,0.4029099941253662
1670105747.3031967,116,0.4396899938583374
1670105790.6220686,117,0.42590001225471497
1670105833.9017763,118,0.4480299949645996
1670105876.6619036,119,0.457940012216568
1670105919.5773427,120,0.44642001390457153
1670105964.7147014,121,0.44464001059532166
1670106010.0538673,122,0.47964000701904297
